
港澳,#genre#

凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8

凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰资讯,http://183.207.249.34/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8



凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8

凤凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://117.169.120.138:8080/live/fhchinese/.m3u8
凤凰中文,http://183.207.249.34/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://183.207.249.35/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://111.20.33.93/PLTV/88888893/224/3221226547/index.m3u8







面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

时装模特imodeTV,http://juyunlive.juyun.tv/live/24950198.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8


TVB星河,http://113.64.147.31:808/hls/135/index.m3u8
TVB星河,http://113.64.147.39:808/hls/135/index.m3u8
TVB星河,http://113.64.147.102:808/hls/135/index.m3u8

翡翠台,http://113.64.147.73:808/hls/67/index.m3u8
翡翠台,http://113.64.147.102:808/hls/67/index.m3u8
翡翠台,http://113.64.147.130:808/hls/67/index.m3u8
翡翠台,http://113.64.147.155:808/hls/67/index.m3u8
翡翠台,http://113.64.147.164:808/hls/67/index.m3u8

J2,http://120.84.96.59:808/hls/86/index.m3u8
J2,http://120.84.96.60:808/hls/86/index.m3u8
J2,http://120.84.96.61:808/hls/86/index.m3u8
J2,http://120.84.96.62:808/hls/86/index.m3u8
J2,http://120.84.96.63:808/hls/86/index.m3u8
J2,http://120.84.96.75:808/hls/86/index.m3u8
J2,http://120.84.96.78:808/hls/86/index.m3u8
J2,http://120.84.96.81:808/hls/86/index.m3u8
J2,http://120.84.96.90:808/hls/86/index.m3u8
J2,http://120.84.96.91:808/hls/86/index.m3u8
J2,http://120.84.96.92:808/hls/86/index.m3u8
J2,http://120.84.96.95:808/hls/86/index.m3u8


无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8

明珠台,http://27.47.71.34:808/hls/37/index.m3u8
明珠台,http://27.47.71.51:808/hls/37/index.m3u8
明珠台,http://120.84.96.57:808/hls/26/index.m3u8
明珠台,http://120.84.96.60:808/hls/26/index.m3u8
明珠台,http://120.84.96.61:808/hls/26/index.m3u8
明珠台,http://120.84.96.62:808/hls/26/index.m3u8
明珠台,http://120.84.96.63:808/hls/26/index.m3u8


点掌+财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd

耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd


澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd

澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8?zgangd
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8?zgangd
澳视澳门,http://61.244.22.4/ch1/ch1.live/master.m3u8

澳视资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8?zgangd
